source,sourcewell,destination,destinationwell,volume,originalwell,time
culture_plate2,A11,culture_plate2,A11,0,A11,0
culture_plate2,A10,culture_plate2,A10,0,A10,0
culture_plate2,A9,culture_plate2,A9,0,A9,0
carrier50mltubes,11,culture_plate2,B10,299,A10,19789
culture_plate2,A10,culture_plate2,B10,65,A10,19789
carrier50mltubes,11,culture_plate2,B9,299,A9,19789
culture_plate2,A9,culture_plate2,B9,65,A9,19789
carrier50mltubes,11,culture_plate2,B11,299,A11,21254
culture_plate2,A11,culture_plate2,B11,65,A11,21254
carrier50mltubes,12,culture_plate2,C11,299,A11,33857
culture_plate2,B11,culture_plate2,C11,65,A11,33857
carrier50mltubes,12,culture_plate2,C10,299,A10,33857
culture_plate2,B10,culture_plate2,C10,65,A10,33857
carrier50mltubes,12,culture_plate2,C9,299,A9,33857
culture_plate2,B9,culture_plate2,C9,65,A9,33857
carrier50mltubes,12,culture_plate2,D11,299,A11,47734
culture_plate2,C11,culture_plate2,D11,65,A11,47734
carrier50mltubes,12,culture_plate2,D10,299,A10,47734
culture_plate2,C10,culture_plate2,D10,65,A10,47734
carrier50mltubes,12,culture_plate2,D9,299,A9,47734
culture_plate2,C9,culture_plate2,D9,65,A9,47734
carrier50mltubes,12,culture_plate2,E11,299,A11,61603
culture_plate2,D11,culture_plate2,E11,65,A11,61603
carrier50mltubes,12,culture_plate2,E10,299,A10,61603
culture_plate2,D10,culture_plate2,E10,65,A10,61603
carrier50mltubes,12,culture_plate2,E9,299,A9,61603
culture_plate2,D9,culture_plate2,E9,65,A9,61603
carrier50mltubes,12,culture_plate2,F11,299,A11,75473
culture_plate2,E11,culture_plate2,F11,65,A11,75473
carrier50mltubes,12,culture_plate2,F10,299,A10,75473
culture_plate2,E10,culture_plate2,F10,65,A10,75473
carrier50mltubes,12,culture_plate2,F9,299,A9,75473
culture_plate2,E9,culture_plate2,F9,65,A9,75473
carrier50mltubes,12,culture_plate2,G11,299,A11,89354
culture_plate2,F11,culture_plate2,G11,65,A11,89354
carrier50mltubes,12,culture_plate2,G10,299,A10,89354
culture_plate2,F10,culture_plate2,G10,65,A10,89354
carrier50mltubes,12,culture_plate2,G9,299,A9,89354
culture_plate2,F9,culture_plate2,G9,65,A9,89354
carrier50mltubes,12,culture_plate2,H11,299,A11,103230
culture_plate2,G11,culture_plate2,H11,65,A11,103230
carrier50mltubes,12,culture_plate2,H10,299,A10,103230
culture_plate2,G10,culture_plate2,H10,65,A10,103230
carrier50mltubes,12,culture_plate2,H9,299,A9,103230
culture_plate2,G9,culture_plate2,H9,65,A9,103230
