 ,Area,Mean,Min,Max,Ch,Frame
155,4.829,166.725,120,257,1,78
156,4.829,271.676,113,578,2,78
157,4.829,165.65,125,244,1,79
158,4.829,263.713,117,488,2,79
159,4.829,155.449,114,215,1,80
160,4.829,243.693,116,464,2,80
161,4.829,157.133,121,220,1,81
162,4.829,258.64,122,511,2,81
163,4.829,159.048,118,223,1,82
164,4.829,260.237,119,531,2,82
165,4.829,158.626,117,222,1,83
166,4.829,276.585,122,574,2,83
167,4.829,158.903,118,217,1,84
168,4.829,282.766,121,573,2,84
169,4.829,159.983,120,229,1,85
170,4.829,291.068,126,582,2,85
171,4.829,158.628,118,228,1,86
172,4.829,289.188,120,600,2,86
173,4.829,153.901,114,223,1,87
174,4.829,262.671,122,525,2,87
175,4.829,152.671,105,211,1,88
176,4.829,258.019,123,506,2,88
177,4.829,159.973,119,231,1,89
178,4.829,294.159,131,577,2,89
179,4.829,161.017,116,237,1,90
180,4.829,305.601,127,637,2,90
181,4.829,162.621,122,237,1,91
182,4.829,318.655,127,670,2,91
183,4.829,170.222,121,255,1,92
184,4.829,323,124,676,2,92
185,4.829,161.109,119,221,1,93
186,4.829,293.019,131,576,2,93
187,4.829,161.174,121,226,1,94
188,4.829,260.345,116,498,2,94
189,4.829,166.454,118,249,1,95
190,4.829,233.203,118,455,2,95
191,4.829,185.336,127,283,1,96
192,4.829,208.693,112,392,2,96
193,4.829,202.698,127,342,1,97
194,4.829,198.263,113,368,2,97
195,4.829,224.819,130,384,1,98
196,4.829,186.005,106,331,2,98
197,4.829,233.442,130,418,1,99
198,4.829,173.529,99,289,2,99
199,4.829,243.611,134,442,1,100
200,4.829,157.889,106,257,2,100
201,4.829,246.981,131,468,1,101
202,4.829,146.626,105,235,2,101
203,4.829,265.191,135,528,1,102
204,4.829,144.275,102,227,2,102
205,4.829,270.954,131,541,1,103
206,4.829,137.514,102,215,2,103
207,4.829,269.848,137,523,1,104
208,4.829,130.647,99,199,2,104
209,4.829,269.063,129,531,1,105
210,4.829,124.928,102,176,2,105
211,4.829,265.203,130,522,1,106
212,4.829,121.901,102,162,2,106
213,4.829,283.717,140,551,1,107
214,4.829,118.891,101,151,2,107
215,4.829,262.809,136,500,1,108
216,4.829,116.012,102,139,2,108
217,4.829,317.031,148,634,1,109
218,4.829,114.415,95,135,2,109
219,4.829,274.239,134,535,1,110
220,4.829,116.341,101,145,2,110
221,4.829,257.179,133,515,1,111
222,4.829,123.283,96,168,2,111
223,4.829,247.838,132,474,1,112
224,4.829,153.577,105,252,2,112
225,4.829,235.906,129,441,1,113
226,4.829,203.353,112,397,2,113
227,4.829,218.51,128,380,1,114
228,4.829,242.597,116,498,2,114
229,4.829,206.773,133,383,1,115
230,4.829,273.715,118,594,2,115
231,4.829,191.094,125,312,1,116
232,4.829,279.114,120,579,2,116
233,4.829,181.157,120,285,1,117
234,4.829,279.452,126,564,2,117
235,4.829,173.196,124,257,1,118
236,4.829,278.609,118,567,2,118
237,4.829,170.092,124,243,1,119
238,4.829,293.068,123,578,2,119
239,4.829,173.314,117,253,1,120
240,4.829,321.986,125,653,2,120
241,4.829,171.454,123,248,1,121
242,4.829,322.258,129,667,2,121
243,4.829,168.998,123,252,1,122
244,4.829,318.657,130,679,2,122
245,4.829,170.466,125,238,1,123
246,4.829,333.386,129,687,2,123
247,4.829,169.326,121,243,1,124
248,4.829,330.976,127,675,2,124
249,4.829,171.742,122,250,1,125
250,4.829,340.884,134,669,2,125
251,4.829,171.147,126,241,1,126
252,4.829,343.614,130,692,2,126
253,4.829,170.739,122,251,1,127
254,4.829,343.304,132,691,2,127
255,4.829,170.8,123,253,1,128
256,4.829,352.785,124,749,2,128
257,4.829,172.92,125,268,1,129
258,4.829,367.903,135,775,2,129
259,4.829,174.587,126,270,1,130
260,4.829,372.572,133,767,2,130
261,4.829,173.029,123,268,1,131
262,4.829,365.077,129,791,2,131
